,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
269,vysokogornyy,100,RU,1623979602,34,50.1167,139.15,73.85,11.39
270,bathsheba,20,BB,1623979602,65,13.2167,-59.5167,81.21,18.41
271,half moon bay,100,LR,1623979603,87,6.3807,-10.6953,77.34,4.79
272,manono,100,CD,1623979603,41,-7.3,27.4167,65.5,1.57
273,maturin,100,VE,1623979603,94,9.75,-63.1767,74.1,5.53
274,lengshuitan,98,CN,1623979604,71,26.4111,111.5956,86.31,5.91
275,shetpe,2,KZ,1623979604,18,44.1667,52.1167,83.37,3.02
276,ekhinos,79,GR,1623979604,83,41.2833,24.9667,60.12,5.23
277,saint-augustin,24,CA,1623979604,96,51.226,-58.6502,46.31,10.38
278,mackay,1,AU,1623979605,35,-21.15,149.2,75.04,9.22
279,wagar,16,SD,1623979605,45,16.1525,36.2032,87.46,16.26
280,berlevag,95,NO,1623979605,82,70.8578,29.0864,42.37,13.65
281,nhulunbuy,75,AU,1623979516,74,-12.2333,136.7667,83.01,17.27
282,anadyr,0,RU,1623979606,47,64.75,177.4833,55.9,8.95
283,cabedelo,8,BR,1623979606,88,-6.9811,-34.8339,75.87,10.67
284,salou,75,ES,1623979606,93,41.0766,1.1416,70.21,3.0
285,ussel,97,FR,1623979606,96,45.55,2.3167,58.08,4.29
286,buchanan,89,LR,1623979607,84,5.8808,-10.0467,78.06,6.17
287,hami,83,CN,1623979608,12,42.8,93.45,80.46,2.62
288,jalali,8,IN,1623979608,69,27.8667,78.2667,81.73,7.23
289,loa janan,100,US,1623979609,60,38.4028,-111.643,63.66,3.67
290,vangaindrano,3,MG,1623979609,92,-23.35,47.6,62.15,3.89
291,acajutla,100,SV,1623979609,79,13.5928,-89.8275,81.81,1.23
292,severnoye,69,RU,1623979610,93,56.3491,78.3619,65.25,9.01
293,ixtapa,75,MX,1623979610,74,20.7,-105.2,85.23,6.91
294,abashiri,20,JP,1623979610,52,44.0213,144.2697,70.09,3.44
295,ulaangom,26,MN,1623979610,47,49.9811,92.0667,67.01,1.99
296,muros,100,ES,1623979611,88,42.7762,-9.0603,59.23,13.04
297,hailar,100,CN,1623979611,89,49.2,119.7,52.63,9.37
298,amapa,6,BR,1623979611,97,1.0,-52.0,71.31,1.77
299,abha,0,SA,1623979612,48,18.2164,42.5053,67.82,0.0
300,sawakin,3,SD,1623979612,57,19.1059,37.3321,84.24,7.47
301,kununurra,11,AU,1623979612,26,-15.7667,128.7333,80.58,10.36
302,sur,0,OM,1623979612,78,22.5667,59.5289,84.69,3.8
303,rolla,1,US,1623979613,75,37.9514,-91.7713,86.72,5.75
304,airai,8,TL,1623979613,45,-8.9266,125.4092,71.2,4.21
305,sioux lookout,40,US,1623979527,54,42.7333,-96.2336,87.46,9.22
306,hambantota,0,LK,1623979614,100,6.1241,81.1185,77.34,5.75
307,salto de agua,98,UY,1623979614,64,-31.3833,-57.9667,47.16,6.17
308,madang,1,PG,1623979615,65,-5.2246,145.7966,84.54,0.67
309,valdivia,1,CL,1623979615,91,-39.8142,-73.2459,33.89,3.22
310,camapua,75,BR,1623979499,68,-19.5314,-54.0439,64.9,6.8
311,breves,63,BR,1623979615,93,-1.6822,-50.4803,74.55,4.54
312,santiago del estero,1,CL,1623979356,63,-33.4569,-70.6483,59.18,4.61
313,yerbogachen,26,RU,1623979616,44,61.2767,108.0108,70.43,4.43
314,charcas,92,MX,1623979616,67,23.1333,-101.1167,63.95,14.61
315,ambilobe,59,MG,1623979616,85,-13.2,49.05,66.13,2.93
316,tanete,84,ID,1623979617,78,-3.9443,119.7848,81.16,7.85
317,shamkhal,0,RU,1623979617,70,43.0596,47.3373,75.18,13.96
318,hoopstad,0,ZA,1623979617,56,-27.8327,25.9083,49.06,6.91
319,bandarbeyla,90,SO,1623979618,72,9.4942,50.8122,77.11,25.77
320,ruidoso,1,US,1623979618,15,33.3317,-105.673,85.96,1.99
321,rianxo,100,ES,1623979618,88,42.6498,-8.8176,59.09,8.32
322,cajueiro,17,BR,1623979355,93,-9.7167,-36.45,67.19,3.65
323,konyshevka,0,RU,1623979619,90,51.8418,35.2941,57.27,10.54
324,buala,7,SB,1623979509,66,-8.145,159.5921,85.33,9.86
325,ancud,0,CL,1623979619,77,-41.8697,-73.8203,36.43,7.61
326,rocky mountain house,1,US,1623979619,27,35.157,-99.0604,92.35,13.8
327,escarcega,100,MX,1623979620,95,18.6089,-90.7454,75.13,2.75
328,kawambwa,59,ZM,1623979620,53,-9.7915,29.0791,51.66,4.41
329,west bay,20,US,1623979620,61,31.8024,-97.0917,91.15,3.0
330,mount isa,100,GB,1623979620,84,53.6597,-1.8537,56.37,3.51
331,leningradskiy,100,RU,1623979621,86,69.3833,178.4167,41.04,4.07
332,nelson bay,100,NZ,1623979621,87,-41.2833,173.2833,46.17,5.19
333,mayo,1,US,1623979621,65,38.8876,-76.5119,71.58,0.0
334,brae,36,GB,1623979621,78,60.3964,-1.353,49.91,14.72
335,oktyabrskiy,9,RU,1623979622,80,54.4815,53.471,51.35,6.26
336,haines junction,1,US,1623979622,45,59.2286,-135.4441,67.75,8.05
337,saint-pierre,90,RE,1623979622,69,-21.3393,55.4781,69.48,6.91
338,pringsewu,98,ID,1623979623,90,-5.3582,104.9744,76.87,1.28
339,cabo san lucas,25,BR,1623979623,94,-8.2833,-35.0333,71.53,6.96
340,paracatu,3,BR,1623979545,37,-17.2222,-46.8747,63.34,2.53
341,kidal,53,ML,1623979623,17,18.4411,1.4078,91.85,3.24
342,aviemore,27,GB,1623979624,91,57.1955,-3.8259,50.65,3.56
343,kohlu,3,PK,1623979624,58,29.8962,69.252,75.34,1.72
344,atbasar,100,KZ,1623979624,49,51.8,68.3333,70.74,6.62
345,sivas,0,TR,1623979625,71,39.7916,37.0019,52.43,6.91
346,pasni,3,PK,1623979625,87,25.2631,63.471,81.37,5.86
347,batagay,7,RU,1623979625,29,67.6333,134.6333,76.51,2.44
348,boa vista,82,CM,1623979626,92,4.4296,8.9742,74.93,0.78
349,barcelos,84,PT,1623979626,94,41.5388,-8.6151,61.92,5.37
350,miracema do tocantins,100,BR,1623979626,86,-21.4122,-42.1967,65.07,3.85
351,solwezi,0,ZM,1623979627,66,-12.1688,26.3894,49.12,3.74
352,karaton,56,ID,1623979627,81,-6.3424,106.1045,83.95,1.19
353,tigre,0,AR,1623979627,68,-34.426,-58.5796,45.21,5.75
354,balagansk,0,RU,1623979628,55,54.0103,103.0544,62.78,3.13
355,aquiraz,3,BR,1623979628,89,-3.9014,-38.3911,82.18,10.47
356,bougouni,100,ML,1623979628,65,11.417,-7.479,77.2,5.91
357,marsabit,87,KE,1623979629,67,2.3284,37.9899,62.69,10.29
358,elliot,0,ZA,1623979629,51,-31.3333,27.85,43.57,4.59
359,baherden,0,TM,1623979629,15,38.4362,57.4316,78.73,3.76
360,saurimo,78,AO,1623979630,40,-9.6608,20.3916,54.7,4.9
361,floro,90,NO,1623979630,93,61.5996,5.0328,53.24,4.61
362,urubicha,19,BO,1623979630,76,-15.3833,-62.95,61.32,5.08
363,hobyo,100,SO,1623979630,87,5.3505,48.5268,76.68,23.11
364,maralal,54,KE,1623979631,84,1.0968,36.698,55.89,4.7
365,yulara,100,AU,1623979631,58,-25.2406,130.9889,51.64,13.8
366,caravelas,0,BR,1623979631,78,-17.7125,-39.2481,69.96,5.44
367,sao jose da coroa grande,97,IN,1623979631,81,20.5113,76.2129,74.16,9.55
368,asau,100,RO,1623979632,96,46.4333,26.4,63.95,7.02
